name,download_url,author,author_url,dataset,source_url,resolution,license,implementation
LSUN Bedrooms,https://drive.google.com/uc?id=1MOSKeGF0FJcivpBI7s63V9YHloUTORiF,karras,https://research.nvidia.com/person/tero-karras,LSUN bedrooms,https://github.com/NVlabs/stylegan,256x256,https://github.com/NVlabs/stylegan/blob/master/LICENSE.txt, https://github.com/NVlabs/stylegan
LSUN Cars,https://drive.google.com/uc?id=1MJ6iCfNtMIRicihwRorsM3b7mmtmK9c3,karras,https://research.nvidia.com/person/tero-karras,LSUN cars,https://github.com/NVlabs/stylegan,512x384,https://github.com/NVlabs/stylegan/blob/master/LICENSE.txt, https://github.com/NVlabs/stylegan
LSUN Cats,https://drive.google.com/uc?id=1MQywl0FNt6lHu8E_EUqnRbviagS7fbiJ,karras,https://research.nvidia.com/person/tero-karras,LSUN cats,https://github.com/NVlabs/stylegan,256x256,https://github.com/NVlabs/stylegan/blob/master/LICENSE.txt, https://github.com/NVlabs/stylegan
CelebA HQ Faces,https://drive.google.com/uc?id=1MGqJl28pN4t7SAtSrPdSRJSQJqahkzUf,karras,https://research.nvidia.com/person/tero-karras,CelebAHQ,https://github.com/NVlabs/stylegan,1024x1024,https://github.com/NVlabs/stylegan/blob/master/LICENSE.txt, https://github.com/NVlabs/stylegan
FFHQ Faces,https://drive.google.com/uc?id=1MEGjdvVpUsu1jB4zrXZN7Y4kBBOzizDQ,karras,https://research.nvidia.com/person/tero-karras,FFHQ,https://github.com/NVlabs/stylegan,1024x1024,https://github.com/NVlabs/stylegan/blob/master/LICENSE.txt, https://github.com/NVlabs/stylegan
Pokemon,https://www.dropbox.com/s/a7oiegcixl7mye7/pokemon.pkl?dl=1,Michael Friesen,https://twitter.com/michaelfriese10,Unknown,https://twitter.com/MichaelFriese10/status/1127614400750346240,256x256,Unknown, https://github.com/NVlabs/stylegan
Anime Faces,https://mega.nz/#!vawjXISI!F7s13yRicxDA3QYqYDL2kjnc2K7Zk3DwCIYETREmBP4,gwern,https://www.gwern.net/,Danbooru2017,https://www.gwern.net/Faces#models,512x512,Unknown, https://github.com/NVlabs/stylegan
Anime Portraits,https://mega.nz/#!CRtiDI7S!xo4zm3n7pkq1Lsfmuio1O8QPpUwHrtFTHjNJ8_XxSJs,gwern,https://www.gwern.net/,Danbooru2017,https://www.gwern.net/Faces#portrait-results,512x512,Unknown, https://github.com/NVlabs/stylegan
WikiArt Faces,https://drive.google.com/uc?id=1cJQtMeTy_QldOP7n64F8stCDXY6Esup9,ak9250,https://github.com/ak9250,WikiArt,https://github.com/ak9250/stylegan-art,512x512,https://github.com/ak9250/stylegan-art/blob/master/LICENSE.txt, https://github.com/NVlabs/stylegan
Abstract Photos,https://mega.nz/#!vCQyHQZT!zdeOg3VvT4922Z2UfxO51xgAfJD-NAK2nW7H_jMlilU,Michael Friesen,https://twitter.com/michaelfriese10,1-2-3 Abstract Photography Flickr Group,https://twitter.com/MichaelFriese10/status/1151683347065610240,512x512,Unknown, https://github.com/NVlabs/stylegan
Vases,https://thisvesseldoesnotexist.s3-us-west-2.amazonaws.com/public/network-snapshot-008980.pkl,Derek Philip Au,http://derekau.net/,Museum photos,https://thisvesseldoesnotexist.com/#/,1024x1024,Unknown, https://github.com/NVlabs/stylegan
Fireworks,https://mega.nz/#!7uBHnACY!quIW-pjdDa7NqnZOYh1z5UemWwPOW6HkYSoJ4usCg9U,Jonathan Fly,https://twitter.com/jonathanfly,Unknown,https://twitter.com/jonathanfly/status/1148000690586959872,512x512,Unknown, https://github.com/NVlabs/stylegan
Ukiyo-e Faces,https://drive.google.com/uc?id=1CHbJlci9NhVFifNQb3vCGu6zw4eqzvTd,Justin Pinkney,https://twitter.com/Buntworthy,Museum photos,https://twitter.com/Buntworthy/status/1213573469893545984,512x512,Unknown, https://github.com/NVlabs/stylegan
Butterflies,https://drive.google.com/uc?id=1IPbIsfXus3DItnwr62Px88IN91CnKkgN,Marian Kleineberg,https://marian42.de/,London Natural History Museum butterflies,https://marian42.de/article/butterflies/,256x256,Unkown, https://github.com/marian42/style-based-gan-pytorch
Escher,https://mega.nz/#!iSZH1KAJ!2bZvb_rNd7mkPt3tdBP-8_sEw-6uolhja4J2SzLytZU,Michael Friesen,https://twitter.com/MichaelFriese10,Unknown,https://twitter.com/MichaelFriese10/status/1220480910455234561,1024x1024,Unknown, https://github.com/NVlabs/stylegan